Accession	BioSampleAccession	BioSampleName	SequenceLength	SequenceDefinition
CP026609.1	SAMN08470240	Salmonella enterica subsp. enterica serovar Derby isolate 2014LSAL01779 chromosome, complete genome.	4846817	Salmonella enterica subsp. enterica serovar Derby isolate 2014LSAL01779 chromosome, complete genome.
CP026660.1	SAMN08475067	Salmonella enterica subsp. enterica strain 15-SA01028 chromosome, complete genome.	4698699	Salmonella enterica subsp. enterica strain 15-SA01028 chromosome, complete genome.
CP026661.1	SAMN08475067	Salmonella enterica subsp. enterica strain 15-SA01028 plasmid pSE15-SA01028, complete sequence.	310921	Salmonella enterica subsp. enterica strain 15-SA01028 plasmid pSE15-SA01028, complete sequence.
CP026700.1	SAMN04014872	Salmonella enterica subsp. enterica serovar Typhimurium strain AR_0031 chromosome, complete genome.	4870262	Salmonella enterica subsp. enterica serovar Typhimurium strain AR_0031 chromosome, complete genome.
CP026701.1	SAMN04014872	Salmonella enterica subsp. enterica serovar Typhimurium strain AR_0031 plasmid unitig_1_pilon, complete sequence.	93832	Salmonella enterica subsp. enterica serovar Typhimurium strain AR_0031 plasmid unitig_1_pilon, complete sequence.
CP026713.1	SAMN08449845	Salmonella enterica strain FORC_078 chromosome, complete genome.	4686022	Salmonella enterica strain FORC_078 chromosome, complete genome.
CP026976.1	SAMN03255434	Salmonella enterica subsp. enterica serovar Heidelberg strain FDAARGOS_54 chromosome, complete genome.	4751278	Salmonella enterica subsp. enterica serovar Heidelberg strain FDAARGOS_54 chromosome, complete genome.
CP027677.1	SAMN08685598	Salmonella enterica subsp. enterica serovar Corvallis strain 12-01738 chromosome, complete genome.	4887378	Salmonella enterica subsp. enterica serovar Corvallis strain 12-01738 chromosome, complete genome.
CP028169.1	SAMN08663433	Salmonella enterica strain CFSAN064034 chromosome, complete genome.	4941290	Salmonella enterica strain CFSAN064034 chromosome, complete genome.
CP028172.1	SAMN08663434	Salmonella enterica strain CFSAN064033 chromosome, complete genome.	4636770	Salmonella enterica strain CFSAN064033 chromosome, complete genome.
CP028196.1	SAMN08663446	Salmonella enterica subsp. enterica serovar Concord strain CFSAN018747 chromosome, complete genome.	4740838	Salmonella enterica subsp. enterica serovar Concord strain CFSAN018747 chromosome, complete genome.
CP028199.2	SAMN08663444	Salmonella enterica subsp. enterica serovar Typhimurium strain CFSAN018746 chromosome, complete genome.	4856225	Salmonella enterica subsp. enterica serovar Typhimurium strain CFSAN018746 chromosome, complete genome.
CP028200.2	SAMN08663444	Salmonella enterica subsp. enterica serovar Typhimurium strain CFSAN018746 plasmid pGMI14-001, complete sequence.	95983	Salmonella enterica subsp. enterica serovar Typhimurium strain CFSAN018746 plasmid pGMI14-001, complete sequence.
CP028311.1	SAMN08737531	Salmonella enterica subsp. enterica serovar Heidelberg strain CFSAN067218 chromosome, complete genome.	4793457	Salmonella enterica subsp. enterica serovar Heidelberg strain CFSAN067218 chromosome, complete genome.
CP028313.1	SAMN08737531	Salmonella enterica subsp. enterica serovar Heidelberg strain CFSAN067218 plasmid pSH-04-2, complete sequence.	43609	Salmonella enterica subsp. enterica serovar Heidelberg strain CFSAN067218 plasmid pSH-04-2, complete sequence.
CP028314.1	SAMN08737533	Salmonella enterica subsp. enterica serovar Typhimurium var. 5- strain CFSAN067217 chromosome, complete genome.	4808419	Salmonella enterica subsp. enterica serovar Typhimurium var. 5- strain CFSAN067217 chromosome, complete genome.
CP028318.1	SAMN08274661	Salmonella enterica subsp. enterica serovar Typhimurium var. 5- strain CFSAN067216 chromosome, complete genome.	4884375	Salmonella enterica subsp. enterica serovar Typhimurium var. 5- strain CFSAN067216 chromosome, complete genome.
CP028729.1	SAMN08903186	Salmonella enterica subsp. enterica serovar Thompson strain HFCDC-SM-846 chromosome, complete genome.	4754975	Salmonella enterica subsp. enterica serovar Thompson strain HFCDC-SM-846 chromosome, complete genome.
CP028900.1	SAMN08903161	Salmonella enterica subsp. enterica serovar California strain CD-SL01 chromosome, complete genome.	4833791	Salmonella enterica subsp. enterica serovar California strain CD-SL01 chromosome, complete genome.
CP029029.1	SAMN08944422	Salmonella enterica subsp. enterica serovar Typhimurium strain FORC88 chromosome, complete genome.	4634278	Salmonella enterica subsp. enterica serovar Typhimurium strain FORC88 chromosome, complete genome.
CP029035.1	SAMN00710627	Salmonella enterica subsp. enterica serovar Montevideo str. 531954 chromosome, complete genome.	4694397	Salmonella enterica subsp. enterica serovar Montevideo str. 531954 chromosome, complete genome.
CP029036.1	SAMN01816110	Salmonella enterica subsp. enterica serovar Senftenberg str. 361154004 chromosome, complete genome.	4794849	Salmonella enterica subsp. enterica serovar Senftenberg str. 361154004 chromosome, complete genome.
CP029037.1	SAMN01816110	Salmonella enterica subsp. enterica serovar Senftenberg str. 361154004 plasmid unnamed, complete sequence.	319930	Salmonella enterica subsp. enterica serovar Senftenberg str. 361154004 plasmid unnamed, complete sequence.
CP029038.1	SAMN04451263	Salmonella enterica subsp. enterica serovar Senftenberg strain CFSAN045763 chromosome, complete genome.	4766139	Salmonella enterica subsp. enterica serovar Senftenberg strain CFSAN045763 chromosome, complete genome.
CP029039.1	SAMN04451264	Salmonella enterica subsp. enterica serovar Montevideo strain CFSAN045764 chromosome, complete genome.	4694399	Salmonella enterica subsp. enterica serovar Montevideo strain CFSAN045764 chromosome, complete genome.
CP029040.1	SAMN04549535	Salmonella enterica subsp. enterica serovar Senftenberg strain CFSAN047866 chromosome, complete genome.	4807052	Salmonella enterica subsp. enterica serovar Senftenberg strain CFSAN047866 chromosome, complete genome.
CP029041.1	SAMN05181543	Salmonella enterica subsp. enterica serovar Worthington strain CFSAN051295 chromosome, complete genome.	4914635	Salmonella enterica subsp. enterica serovar Worthington strain CFSAN051295 chromosome, complete genome.
CP029249.1	SAMN08903186	Salmonella enterica subsp. enterica serovar Thompson strain HFCDC-SM-846 plasmid p846, complete sequence.	152940	Salmonella enterica subsp. enterica serovar Thompson strain HFCDC-SM-846 plasmid p846, complete sequence.
CP029336.1	SAMN05181544	Salmonella enterica subsp. enterica serovar Montevideo strain CFSAN051296 chromosome, complete genome.	4694373	Salmonella enterica subsp. enterica serovar Montevideo strain CFSAN051296 chromosome, complete genome.
CP029567.1	SAMN09245755	Salmonella enterica subsp. enterica serovar Typhimurium strain DA34821 chromosome, complete genome.	4900176	Salmonella enterica subsp. enterica serovar Typhimurium strain DA34821 chromosome, complete genome.
CP029568.1	SAMN09245760	Salmonella enterica subsp. enterica serovar Typhimurium strain DA34837 chromosome, complete genome.	5070296	Salmonella enterica subsp. enterica serovar Typhimurium strain DA34837 chromosome, complete genome.
CP029593.1	SAMN09245756	Salmonella enterica subsp. enterica serovar Typhimurium strain DA34827 chromosome, complete genome.	4933577	Salmonella enterica subsp. enterica serovar Typhimurium strain DA34827 chromosome, complete genome.
CP029594.1	SAMN09245756	Salmonella enterica subsp. enterica serovar Typhimurium strain DA34827 plasmid pDA34827-94, complete sequence.	94034	Salmonella enterica subsp. enterica serovar Typhimurium strain DA34827 plasmid pDA34827-94, complete sequence.
CP029595.1	SAMN09245758	Salmonella enterica subsp. enterica serovar Typhimurium strain DA34833 chromosome, complete genome.	4933522	Salmonella enterica subsp. enterica serovar Typhimurium strain DA34833 chromosome, complete genome.
CP029596.1	SAMN09245758	Salmonella enterica subsp. enterica serovar Typhimurium strain DA34833 plasmid pDA34833-94, complete sequence.	94001	Salmonella enterica subsp. enterica serovar Typhimurium strain DA34833 plasmid pDA34833-94, complete sequence.
CP029645.1	SAMN09208111	Salmonella enterica subsp. enterica serovar Typhi strain 311189_217186 plasmid pHCM1, complete sequence.	216963	Salmonella enterica subsp. enterica serovar Typhi strain 311189_217186 plasmid pHCM1, complete sequence.
CP029646.1	SAMN09208111	Salmonella enterica subsp. enterica serovar Typhi strain 311189_217186 chromosome, complete genome.	4782348	Salmonella enterica subsp. enterica serovar Typhi strain 311189_217186 chromosome, complete genome.
CP029800.1	SAMN09373897	Salmonella enterica subsp. enterica serovar Anatum strain R16.0676 chromosome, complete genome.	4674190	Salmonella enterica subsp. enterica serovar Anatum strain R16.0676 chromosome, complete genome.
CP029839.1	SAMN09302771	Salmonella enterica subsp. enterica serovar Typhimurium strain 10ST07093 chromosome, complete genome.	4865212	Salmonella enterica subsp. enterica serovar Typhimurium strain 10ST07093 chromosome, complete genome.
CP029846.1	SAMN09320578	Salmonella enterica subsp. enterica serovar Typhi strain 343078_273110 chromosome, complete genome.	4801146	Salmonella enterica subsp. enterica serovar Typhi strain 343078_273110 chromosome, complete genome.
CP029848.1	SAMN09320573	Salmonella enterica subsp. enterica serovar Typhi strain 343078_211126 chromosome, complete genome.	4799748	Salmonella enterica subsp. enterica serovar Typhi strain 343078_211126 chromosome, complete genome.
CP029850.1	SAMN09320572	Salmonella enterica subsp. enterica serovar Typhi strain 343078_203125 chromosome, complete genome.	4801819	Salmonella enterica subsp. enterica serovar Typhi strain 343078_203125 chromosome, complete genome.
CP029852.1	SAMN09320571	Salmonella enterica subsp. enterica serovar Typhi strain 343078_201101 chromosome, complete genome.	4782235	Salmonella enterica subsp. enterica serovar Typhi strain 343078_201101 chromosome, complete genome.
CP029853.1	SAMN09320567	Salmonella enterica subsp. enterica serovar Typhi strain 343077_281186 chromosome, complete genome.	4829489	Salmonella enterica subsp. enterica serovar Typhi strain 343077_281186 chromosome, complete genome.
CP029855.1	SAMN09320570	Salmonella enterica subsp. enterica serovar Typhi strain 343077_292148 chromosome, complete genome.	4800586	Salmonella enterica subsp. enterica serovar Typhi strain 343077_292148 chromosome, complete genome.
CP029856.1	SAMN09320569	Salmonella enterica subsp. enterica serovar Typhi strain 343077_286126 chromosome, complete genome.	4797628	Salmonella enterica subsp. enterica serovar Typhi strain 343077_286126 chromosome, complete genome.
CP029858.1	SAMN09320568	Salmonella enterica subsp. enterica serovar Typhi strain 343077_285138 chromosome, complete genome.	4800928	Salmonella enterica subsp. enterica serovar Typhi strain 343077_285138 chromosome, complete genome.
CP029861.1	SAMN09320564	Salmonella enterica subsp. enterica serovar Typhi strain 343077_260153 chromosome, complete genome.	4783691	Salmonella enterica subsp. enterica serovar Typhi strain 343077_260153 chromosome, complete genome.
CP029862.1	SAMN09320559	Salmonella enterica subsp. enterica serovar Typhi strain 343077_214162 chromosome, complete genome.	4814028	Salmonella enterica subsp. enterica serovar Typhi strain 343077_214162 chromosome, complete genome.
CP029863.1	SAMN09320566	Salmonella enterica subsp. enterica serovar Typhi strain 343077_278127 chromosome, complete genome.	4807245	Salmonella enterica subsp. enterica serovar Typhi strain 343077_278127 chromosome, complete genome.
CP029864.1	SAMN09320562	Salmonella enterica subsp. enterica serovar Typhi strain 343077_228157 chromosome, complete genome.	4807408	Salmonella enterica subsp. enterica serovar Typhi strain 343077_228157 chromosome, complete genome.
CP029866.1	SAMN09320561	Salmonella enterica subsp. enterica serovar Typhi strain 343077_228140 chromosome, complete genome.	4790593	Salmonella enterica subsp. enterica serovar Typhi strain 343077_228140 chromosome, complete genome.
CP029868.1	SAMN09320560	Salmonella enterica subsp. enterica serovar Typhi strain 343077_215174 chromosome, complete genome.	4785665	Salmonella enterica subsp. enterica serovar Typhi strain 343077_215174 chromosome, complete genome.
CP029870.1	SAMN09320556	Salmonella enterica subsp. enterica serovar Typhi strain 343077_212159 chromosome, complete genome.	4795465	Salmonella enterica subsp. enterica serovar Typhi strain 343077_212159 chromosome, complete genome.
CP029872.1	SAMN09320558	Salmonella enterica subsp. enterica serovar Typhi strain 343077_214135 chromosome, complete genome.	4783204	Salmonella enterica subsp. enterica serovar Typhi strain 343077_214135 chromosome, complete genome.
CP029873.1	SAMN09320554	Salmonella enterica subsp. enterica serovar Typhi strain 343077_211171 chromosome, complete genome.	4782825	Salmonella enterica subsp. enterica serovar Typhi strain 343077_211171 chromosome, complete genome.
CP029875.1	SAMN09320545	Salmonella enterica subsp. enterica serovar Typhi strain 343076_227128 chromosome, complete genome.	4800199	Salmonella enterica subsp. enterica serovar Typhi strain 343076_227128 chromosome, complete genome.
CP029877.1	SAMN09320531	Salmonella enterica subsp. enterica serovar Typhi strain 311189_224186 plasmid pHCM1, complete sequence.	217083	Salmonella enterica subsp. enterica serovar Typhi strain 311189_224186 plasmid pHCM1, complete sequence.
CP029878.1	SAMN09320531	Salmonella enterica subsp. enterica serovar Typhi strain 311189_224186 chromosome, complete genome.	4782665	Salmonella enterica subsp. enterica serovar Typhi strain 311189_224186 chromosome, complete genome.
CP029879.1	SAMN09320530	Salmonella enterica subsp. enterica serovar Typhi strain 311189_223186 plasmid pHCM1, complete sequence.	214596	Salmonella enterica subsp. enterica serovar Typhi strain 311189_223186 plasmid pHCM1, complete sequence.
CP029880.1	SAMN09320530	Salmonella enterica subsp. enterica serovar Typhi strain 311189_223186 chromosome, complete genome.	4783762	Salmonella enterica subsp. enterica serovar Typhi strain 311189_223186 chromosome, complete genome.
CP029881.1	SAMN09320552	Salmonella enterica subsp. enterica serovar Typhi strain 343076_269157 chromosome, complete genome.	4791108	Salmonella enterica subsp. enterica serovar Typhi strain 343076_269157 chromosome, complete genome.
CP029882.1	SAMN09320548	Salmonella enterica subsp. enterica serovar Typhi strain 343076_248190 chromosome, complete genome.	4773823	Salmonella enterica subsp. enterica serovar Typhi strain 343076_248190 chromosome, complete genome.
CP029883.1	SAMN09320539	Salmonella enterica subsp. enterica serovar Typhi strain 311189_268186 chromosome, complete genome.	4807681	Salmonella enterica subsp. enterica serovar Typhi strain 311189_268186 chromosome, complete genome.
CP029885.1	SAMN09320536	Salmonella enterica subsp. enterica serovar Typhi strain 311189_255186 chromosome, complete genome.	4808675	Salmonella enterica subsp. enterica serovar Typhi strain 311189_255186 chromosome, complete genome.
CP029886.1	SAMN09320527	Salmonella enterica subsp. enterica serovar Typhi strain 311189_220186 chromosome, complete genome.	4783528	Salmonella enterica subsp. enterica serovar Typhi strain 311189_220186 chromosome, complete genome.
